ShipBox,ShipTray,ShipHole,FlatNum,ManufactureDate,HexCode,IdleCurrent,BatteryVoltage,OutputCurrent,Period_Nom,Length_mm,Width_mm,Height_mm,Weight_air_mg,FullID,Power_db,Customer_PO,Sales_Order_No,Project Name,Project Fund,Notes,Manufacturer,DecCode,Model,Serial No,UseType,Frequency_kHz,Period_Est,EstimatedLife,WarrantyLife,BatteryType,Cost,Date_Received,Agency,Owner
2047,1,54,5356,21-Nov-23,EDA6,0.0000004372,3.19v,0.0000000626,5,14.2,3.2,3.2,204,G72EDA62E,153,,,,,,,,,,,,,,,,,,,
2047,1,55,5348,21-Nov-23,E9CA,0.0000004542,3.19v,0.0000000573,5,14.2,3.2,3.2,204,G72E9CAD3,155,,,,,,,,,,,,,,,,,,,
2047,1,56,5357,21-Nov-23,EEA9,0.0000004219,3.19v,0.0000000553,5,14.2,3.2,3.2,208,G72EEA93A,155,,,,,,,,,,,,,,,,,,,
2047,1,57,5347,21-Nov-23,E8CA,0.0000004696,3.19v,0.0000000573,5,14.2,3.2,3.2,204,G72E8CA17,156,,,,,,,,,,,,,,,,,,,
2047,1,58,5348,21-Nov-23,E985,0.0000004086,3.19v,0.0000000564,5,14.2,3.2,3.2,205,G72E985D4,155,,,,,,,,,,,,,,,,,,,
2047,1,59,5349,21-Nov-23,EA23,0.0000004454,3.19v,0.0000000559,5,14.2,3.2,3.2,203,G72EA23F3,154,,,,,,,,,,,,,,,,,,,
2047,1,60,5348,21-Nov-23,E9C5,0.0000004291,3.19v,0.0000000575,5,14.2,3.2,3.2,208,G72E9C592,154,,,,,,,,,,,,,,,,,,,
2047,1,61,5357,21-Nov-23,EE55,0.0000005577,3.19v,0.0000000607,5,14.2,3.2,3.2,207,G72EE55ED,153,,,,,,,,,,,,,,,,,,,
2047,1,62,5356,21-Nov-23,EDC5,0.0000004345,3.19v,0.0000000553,5,14.2,3.2,3.2,206,G72EDC5A9,155,,,,,,,,,,,,,,,,,,,
2047,1,63,5349,21-Nov-23,EA5E,0.0000004941,3.19v,0.000000058,5,14.2,3.2,3.2,204,G72EA5EF6,156,,,,,,,,,,,,,,,,,,,
2047,1,64,5348,21-Nov-23,EA1A,0.0000004382,3.19v,0.0000000566,5,14.2,3.2,3.2,204,G72EA1AD1,154,,,,,,,,,,,,,,,,,,,
2047,1,65,5357,21-Nov-23,EE93,0.0000004619,3.19v,0.0000000575,5,14.2,3.2,3.2,201,G72EE93FA,154,,,,,,,,,,,,,,,,,,,
2047,1,66,5357,21-Nov-23,EE54,0.0000004574,3.19v,0.0000000577,5,14.2,3.2,3.2,207,G72EE54B3,155,,,,,,,,,,,,,,,,,,,
2047,1,67,5357,21-Nov-23,EE91,0.0000004494,3.19v,0.0000000549,5,14.2,3.2,3.2,206,G72EE9146,155,,,,,,,,,,,,,,,,,,,
2047,1,68,5348,21-Nov-23,EA05,0.000000414,3.19v,0.0000000572,5,14.2,3.2,3.2,203,G72EA050D,156,,,,,,,,,,,,,,,,,,,
2047,1,69,5358,21-Nov-23,EF59,0.0000005282,3.19v,0.0000000585,5,14.2,3.2,3.2,206,G72EF598A,154,,,,,,,,,,,,,,,,,,,
2047,1,70,5356,21-Nov-23,EDA5,0.0000004241,3.19v,0.0000000602,5,14.2,3.2,3.2,202,G72EDA5CC,154,,,,,,,,,,,,,,,,,,,
2047,1,71,5350,21-Nov-23,EA9E,0.000000437,3.19v,0.0000000568,5,14.2,3.2,3.2,202,G72EA9E3C,156,,,,,,,,,,,,,,,,,,,
2047,1,72,5358,21-Nov-23,EF25,0.000000478,3.19v,0.0000000518,5,14.2,3.2,3.2,202,G72EF25D1,155,,,,,,,,,,,,,,,,,,,
2047,1,73,5348,21-Nov-23,E99B,0.000000412,3.19v,0.0000000584,5,14.2,3.2,3.2,202,G72E99B56,155,,,,,,,,,,,,,,,,,,,
2047,1,74,5346,21-Nov-23,E82D,0.0000004742,3.19v,0.0000000572,5,14.2,3.2,3.2,200,G72E82D7D,154,,,,,,,,,,,,,,,,,,,
2047,1,75,5348,21-Nov-23,E999,0.0000004373,3.19v,0.0000000566,5,14.2,3.2,3.2,206,G72E999EA,153,,,,,,,,,,,,,,,,,,,
2047,1,76,5358,21-Nov-23,EF4D,0.0000004164,3.19v,0.0000000534,5,14.2,3.2,3.2,205,G72EF4D76,156,,,,,,,,,,,,,,,,,,,
2047,1,77,5349,21-Nov-23,EA5B,0.00000047,3.19v,0.0000000618,5,14.2,3.2,3.2,204,G72EA5BC9,154,,,,,,,,,,,,,,,,,,,
2047,1,78,5357,21-Nov-23,EE51,0.0000004478,3.19v,0.0000000555,5,14.2,3.2,3.2,204,G72EE518C,155,,,,,,,,,,,,,,,,,,,
2047,1,79,5349,21-Nov-23,EA5D,0.0000004399,3.19v,0.0000000614,5,14.2,3.2,3.2,205,G72EA5D14,156,,,,,,,,,,,,,,,,,,,
2047,1,80,5358,21-Nov-23,EEC9,0.0000004308,3.19v,0.0000000516,5,14.2,3.2,3.2,205,G72EEC95F,155,,,,,,,,,,,,,,,,,,,
